Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Comments
1,Document,,,,,,,,,Draft,Road Warrior - The idealos,,,,
2,Page,,,,,,,,,,Page 1,,,,
3,Cloud,Geometric Shapes,2,,,,,,,,Agencies,,,,
4,Cloud,Geometric Shapes,2,,,,,,,,Agencies,,,,
5,Cloud,Geometric Shapes,2,,,,,,,,GDS,,,,
6,Cloud,Geometric Shapes,2,,,,,,,,GDS,,,,
7,Rectangle Container,UML,2,,,,,,,,Email Receiver Service,,,,
8,Rectangle Container,UML,2,,,,,,,,Reservations Service,,,,
9,Rectangle Container,UML,2,,,,,,,,Agencies Integration Service,,,,
10,Rectangle Container,UML,2,,,,,,,,Analytics Service,,,,
11,Rectangle Container,UML,2,,,,,,,,Notification Service,,,,
12,Rectangle Container,UML,2,,,,,,,,Account Service,,,,
13,Rectangle Container,UML,2,,,,,,,,Profile Service,,,,
14,Rectangle Container,UML,2,,,,,,,,Trips Service,,,,
15,Rectangle Container,UML,2,,,,,,,,Frontend,,,,
16,Component,UML,2,15,,,,,,,Dashboard Composer,,,,
17,Component,UML,2,14,,,,,,,Trips Composer,,,,
18,Component,UML,2,13,,,,,,,Profile Updater,,,,
19,Component,UML,2,13,,,,,,,Profile Reader,,,,
20,Component,UML,2,15,,,,,,,Trips Social Media Publisher,,,,
21,Component,UML,2,12,,,,,,,Account Updater,,,,
22,Component,UML,2,12,,,,,,,Authenticator,,,,
23,Component,UML,2,7,,,,,,,Email Credentials Keeper,,,,
24,Component,UML,2,7,,,,,,,Email Poller,,,,
25,Component,UML,2,7,,,,,,,Email Picker,,,,
26,Component,UML,2,8,,,,,,,Reservations Updater,,,,
27,Component,UML,2,9,,,,,,,Agency API Router,,,,
28,Component,UML,2,9,,,,,,,GDS Integrator,,,,
29,Component,UML,2,9,,,,,,,Agency Integrator,,,,
30,Rectangle,Geometric Shapes,2,15,,,,,,,Mobile only,,,,
31,Component,UML,2,11,,,,,,,Mobile Notifier,,,,
32,Component,UML,2,11,,,,,,,Web Notifier,,,,
33,Component,UML,2,15,,,,,,,Offline Cache Manager,,,,
34,Component,UML,2,15,,,,,,,Metrics Publisher,,,,
35,Component,UML,2,10,,,,,,,Metrics Collector,,,,
36,Component,UML,2,10,,,,,,,Reports Generator,,,,
37,Component,UML,2,9,,,,,,,Agency Support Router,,,,
38,Component,UML,2,11,,,,,,,SMS Notifier,,,,
39,Component,UML,2,13,,,,,,,Preferences Reader,,,,
40,Component,UML,2,7,,,,,,,Email Parser,,,,
41,Component,UML,2,7,,,,,,,Forwarded Email Receiver,,,,
42,Component,UML,2,15,,,,,,,Context-aware info provider,,,,
43,Database,Flowchart Shapes/Containers,2,10,,,,,,,Metrics,,,,
44,Component,UML,2,8,,,,,,,Reservations Reader,,,,
45,Database,Flowchart Shapes/Containers,2,8,,,,,,,Reservations,,,,
46,Database,Flowchart Shapes/Containers,2,14,,,,,,,Trips,,,,
47,Database,Flowchart Shapes/Containers,2,13,,,,,,,Profiles,,,,
48,Database,Flowchart Shapes/Containers,2,13,,,,,,,Preferences,,,,
49,Database,Flowchart Shapes/Containers,2,12,,,,,,,Accounts,,,,
50,Database,Flowchart Shapes/Containers,2,7,,,,,,,Email Credentials,,,,
51,Channel,Enterprise Integration,2,,,,,,,,New Reservations {Booking Refernce},,,,
52,Channel,Enterprise Integration,2,,,,,,,,Analytics Signals,,,,
53,Cloud,Geometric Shapes,2,,,,,,,,User's Email Service Provider,,,,
54,Cloud,Geometric Shapes,2,,,,,,,,GDS's,,,,
55,Cloud,Geometric Shapes,2,,,,,,,,Agencies,,,,
56,Diagram Key,Standard,2,,,,,,,,Diagram Key,Phase 1,Phase 2,Phase 3,
57,Note,UML,2,,,,,,,,ADR001,,,,
58,Component,UML,2,14,,,,,,,Trips Reader,,,,
59,Note,UML,2,15,,,,,,,ADR002,,,,
60,Component,UML,2,8,,,,,,,Reservations Update Scheduler,,,,
61,Channel,Enterprise Integration,2,8,,,,,,,,,,,
62,Component,UML,2,9,,,,,,,GDS Updates Listener,,,,
63,Channel,Enterprise Integration,2,,,,,,,,Reservation Updates,,,,
64,Note,UML,2,9,,,,,,,ADR005,,,,
65,Note,UML,2,7,,,,,,,ADR003,,,,
66,Note,UML,2,8,,,,,,,ADR004,,,,
67,Note,UML,2,15,,,,,,,ADR006,,,,
68,Database,Flowchart Shapes/Containers,2,9,,,,,,,Routes,,,,
69,Note,UML,2,14,,,,,,,ADR007,,,,
70,Component,UML,2,12,,,,,,,Account Recoverer,,,,
71,Database,Flowchart Shapes/Containers,2,9,,,,,,,Support Routes,,,,
72,Component,UML,2,11,,,,,,,Notifications Broker,,,,
73,Component,UML,2,13,,,,,,,Preferences Updater,,,,
74,Channel,Enterprise Integration,2,,,,,,,,Notifications,,,,
75,Note,UML,2,8,,,,,,,ADR008,,,,
76,Cloud,Geometric Shapes,2,,,,,,,,Social Media Providers,,,,
77,Note,UML,2,7,,,,,,,ADR009,,,,
78,Line,,2,,,26,27,None,Arrow,,,,,,
79,Line,,2,,,27,28,None,Arrow,,,,,,
80,Line,,2,,,27,29,None,Arrow,,,,,,
81,Line,,2,,,15,37,None,Arrow,,Help Me,,,,
82,Line,,2,,,15,44,None,Arrow,,,,,,
83,Line,,2,,,15,14,None,Arrow,,,,,,
84,Line,,2,,,24,23,None,Arrow,,,,,,
85,Line,,2,,,23,50,None,Arrow,,,,,,
